,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
<http://linkedgeodata.org/ontology/boatyard%3Atype>,1.2753975,-0.4671508,-0.63443434,0.34264067,4.029245,1.5927093,-1.2028437,-1.7453524,1.4452767,-2.2373383,0.7963346,-1.4966685,4.081454,-0.6356276,-2.6359346,2.6549737,-3.2862334,-0.55063903,0.21132798,-4.0040703,-0.51839304,-0.70872194,-0.7230689,5.0598874,-1.5096496,2.7635787,-1.949242,4.3373866,-0.7127128,-2.7359452,0.12183157,-2.2103312
<http://purl.org/dc/terms/contributor>,-0.49768347,2.9411154,1.5580362,3.40753,-0.48867685,1.7568457,-3.5623984,-3.7786658,-2.8589442,3.1924438,2.297537,-3.8560367,3.766085,3.931817,-1.4747572,-0.45681924,1.4226187,2.3277717,3.4930427,1.0644668,-1.7477834,-2.113571,2.942158,0.37222472,-3.5601864,1.9755721,-2.523902,-2.182808,2.11076,-2.158751,1.7460349,-1.679114
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,-2.319457,3.2385516,-2.8269734,-2.2159147,3.8073604,-3.3983517,2.517151,1.6179508,3.3443258,-3.4270515,3.3109655,4.022333,4.2771516,-1.5495757,2.2832677,4.5110993,2.7982788,-0.6957749,2.8393044,-2.3241155,-2.0322082,-3.6732705,-3.2735846,2.3876474,2.469246,-3.1458838,1.7835951,2.878757,-3.5672877,-4.2566214,2.367265,-2.9346213
<http://www.w3.org/2000/01/rdf-schema#label>,4.5721054,-0.23356996,-0.5318457,-0.68494976,-0.7082298,1.8303616,-3.501715,-1.323625,1.7768476,-1.4043249,0.6581725,-2.7425816,0.23350899,-0.5530563,3.9918463,3.8258793,-3.4810932,0.9461116,3.0330749,2.2792175,3.0915396,3.4857295,-2.047173,-1.5662645,-2.5656636,-2.0986965,0.6430949,-2.5486727,-3.6926153,-2.3731928,2.1302476,-1.134493
<http://www.w3.org/2003/01/geo/wgs84_pos#lat>,-0.82378453,-0.9947542,2.243144,2.722814,-0.5428813,1.6563524,-3.41795,-1.723053,-1.7303573,2.154926,-3.7248116,0.5993057,0.71958166,4.327782,2.2524688,-0.61077595,-0.31583348,2.1539624,-3.0678418,2.467798,4.3999796,-2.610315,1.7203884,-4.130814,0.8944258,2.4428015,-3.0058892,1.301809,2.1351676,4.723456,-1.0075295,2.4069402
<http://linkedgeodata.org/ontology/gadmSameAs>,-1.3308094,2.8896592,-2.6006396,-1.4300112,2.2028186,1.4407935,-3.535855,-4.5011373,-4.2024684,2.2704926,-0.3208628,-2.394561,0.76306885,0.26634127,-1.6800901,3.0442967,0.03811218,4.96434,-2.2515604,2.6221356,3.1883163,2.4617648,-2.2805068,0.9217042,2.8456666,-1.1983509,-3.84864,-2.3514633,-2.2972968,0.9373596,-1.0271064,3.6342194
<http://purl.org/dc/terms/modified>,2.9568195,-2.822195,-2.0929966,-2.25196,2.9206464,-2.8905084,0.417069,-0.8426649,-2.081704,-2.8339853,2.3490262,-2.6390548,-0.32598108,3.604604,-3.410032,4.3024497,-2.338718,-1.8070631,-3.7979903,-0.7124449,2.8811195,-1.9468721,-2.997872,0.84502226,1.8601841,-2.332168,-2.1616988,1.4060594,-1.8992416,-3.4787822,0.22879057,2.9458039
<http://linkedgeodata.org/ontology/seamark%3Asmall_craft_facility%3Acategory>,1.6283461,-1.3250365,-4.6969447,-0.20366755,-0.36986595,4.2065306,1.597933,-1.7797927,-2.1895611,-1.2842904,1.0600231,1.1514595,-2.1383426,-1.2426909,1.9997888,1.0573089,-1.2751011,-4.1915,-0.33988622,2.3723245,-0.38700375,-3.6963854,-0.8739644,-1.3930755,2.1216156,-2.0499208,3.6293168,0.792998,-0.44727528,0.6105813,-1.9533204,0.45148638
<http://geovocab.org/geometry#geometry>,2.6266375,3.5041702,-0.4950422,3.3071327,2.773625,-2.5023453,-1.8792849,-3.678607,0.8669206,0.89872926,-2.3656247,0.10195097,4.0492444,4.148244,-2.4513023,3.1496286,-2.8158205,1.6779997,0.22206715,0.0048045907,1.5040988,-2.102099,0.15692432,-3.557091,0.22426744,-1.8046665,-2.9879673,2.6772394,-0.6261094,-2.3025353,2.0310085,-1.3422666
<http://www.w3.org/2003/01/geo/wgs84_pos#long>,-1.0103714,-0.85530967,3.6720016,-1.0299885,3.3783216,-1.9289737,-4.3806443,-4.0842314,1.6279579,-2.2142355,0.8905527,0.9820528,3.520094,2.6815968,5.228492,0.756064,0.69048876,3.3559659,2.158591,2.5474582,2.7523866,1.4042937,-2.6935284,-0.51842934,1.5016564,1.4372745,-2.902612,1.5145848,2.5953293,-3.2337756,-1.6630007,0.6614739
<http://linkedgeodata.org/ontology/changeset>,1.1569904,4.315763,-1.2206012,2.9724107,3.1796098,-1.5282909,-0.682377,0.8441031,-3.4920456,-2.3565516,-3.6148772,-3.1873407,2.4275513,-0.256537,-1.4729748,-0.6087197,0.10124057,-1.6066072,-3.8847196,-1.8320065,-0.78359395,-2.3746893,1.3697051,0.9926893,1.175076,2.9184263,-4.2920737,3.0413973,-3.7425067,1.0978109,4.116895,3.201711
<http://linkedgeodata.org/ontology/contact%3Awebsite>,-0.0019301256,-3.4720094,-0.98769534,-0.6812919,-1.9780463,-0.96484923,-2.872383,-3.8462307,0.34383416,-1.4974663,0.5584123,-3.0478015,-1.2794417,-2.141538,-1.6873258,2.6699543,-2.8986871,1.4461168,-1.3123114,1.4082637,-1.5424373,-4.938922,-3.2638023,1.255856,-4.35303,4.0345955,1.3094822,-1.3951732,2.467176,-2.9279315,2.4844043,-0.677067
<http://linkedgeodata.org/ontology/seamark%3Atype>,0.2804512,-1.0518284,1.1396289,3.4256299,-1.8709579,-1.5381384,3.2427049,0.01576294,3.2411706,0.48830074,1.6193213,-4.652887,-1.625798,3.3650153,1.537705,-1.4331828,-0.5289944,3.3327928,0.20699267,-2.7022862,-0.5839962,-1.4778447,-1.1434252,1.1283704,-0.67227185,1.0837221,-0.6121161,1.9584974,-0.100783624,0.5206627,0.24904923,-1.2838922
<http://linkedgeodata.org/ontology/operator>,3.207323,0.10030439,-1.365992,-1.5414536,1.9044163,3.3459032,-2.2220619,-2.251101,2.5960758,0.9987509,-0.47092694,-2.4924815,-0.16284363,1.6825601,-0.94507873,5.307289,-1.2228212,3.2313619,-1.2385999,-0.4337123,3.7770522,3.2080112,-2.700188,-3.7285461,-3.5841916,-0.44590256,1.5339624,-2.341468,0.23205765,-0.2396386,1.7683175,-2.8487504
<http://linkedgeodata.org/ontology/version>,-0.9230168,-0.09273452,-3.2277386,3.5173101,-1.7155432,4.332117,-2.6275795,-4.220038,-2.1221035,5.3051224,-3.1616077,2.0613267,-3.250205,-0.30232537,-4.0781574,-4.7644663,1.7638444,4.7057905,3.4535253,0.63974833,0.57270133,3.9502292,4.001837,4.193514,4.8044233,-0.9618336,-1.7182424,3.7144547,4.9107256,2.0359507,-3.7585196,-2.0136783
<http://linkedgeodata.org/ontology/addr%3Astreet>,0.9216622,2.871532,-1.3366826,3.8484063,3.7633836,2.8360023,0.066591516,2.2612586,-0.46291706,-2.1085777,1.1171073,1.477068,2.3121543,-0.52519745,-0.46139613,4.401475,-3.552634,1.0283228,1.5678196,0.076392286,3.5637815,2.8063965,1.5888098,-4.7009034,0.08640262,-3.1965868,-4.659281,-0.544181,-2.2885349,1.1915653,-2.6964471,3.404689
<http://linkedgeodata.org/ontology/addr%3Ahousenumber>,0.6821128,0.8839528,-2.5469675,2.6022973,-1.394383,3.7524512,-0.9569103,-4.2047606,-1.9227232,3.9482396,-2.3672175,0.36034074,-2.4955006,0.55445504,-3.4778414,-4.233829,1.3132005,4.300131,2.3111322,2.0698404,0.22203311,3.3297348,3.6874413,3.0684261,4.0362897,0.09790615,-2.9393044,2.9354904,4.1352997,0.2961022,-3.2282312,-0.43491977
<http://linkedgeodata.org/ontology/addr%3Acity>,-1.25887,-2.0854576,-0.89640176,2.2147276,2.6659832,1.2879261,-3.7746024,2.3688064,-4.720812,1.6883893,1.3436855,1.5346956,3.8943183,5.145916,2.7146528,0.9417981,1.3492342,-1.7540381,3.2454987,-2.3961823,-0.89939463,-1.639474,-1.9241928,2.5718186,-2.786279,-2.156507,-2.7151504,-1.8067656,-3.0034997,2.291944,-2.2846699,2.0425138
<http://linkedgeodata.org/ontology/note>,0.96372044,1.6017689,-1.1242145,-2.0834289,-1.2087748,0.56576127,-6.982583,-2.3214843,0.66519684,-3.1951451,-0.62890255,-2.2235901,1.720145,2.6865199,4.3279295,0.14389515,-3.0534105,0.10237605,0.3865243,2.2881234,0.016822167,1.4990857,-1.773388,3.1139586,-3.3733203,-0.8652964,-3.241279,-3.92245,1.6591202,1.1153733,4.037239,-1.8480641
<http://linkedgeodata.org/ontology/note_1>,-0.32008445,1.7783418,2.4710157,4.971661,-3.29468,-2.0338118,0.25438344,-1.4462798,-1.7301804,2.4115636,4.457481,-3.8486826,3.1962295,1.9904522,-0.99298507,-3.0476077,-2.836298,-3.7022202,-3.546228,2.3631794,-3.093339,-3.239304,-4.8304443,-1.0529855,0.5890404,-1.9066443,-0.06358849,1.4176894,-1.1088738,-4.2413735,0.02814891,-0.35261872
<http://linkedgeodata.org/ontology/contact%3Aphone>,1.6005346,4.892341,-2.1536448,2.1892354,3.2241993,1.186781,-0.6142167,1.4471943,2.1642141,1.1435205,-1.9720796,-0.8288727,-1.0613806,4.2624393,4.981429,2.3399346,-2.867027,-2.5855956,-3.3944752,-1.5439688,2.8508396,-1.0315698,1.7360735,0.58518505,-3.5252888,-1.3870437,-2.8740695,2.4545395,3.7270606,-0.83555806,3.3128448,-0.63679177
<http://linkedgeodata.org/ontology/addr%3Acountry>,3.434705,3.0043075,-4.490548,-3.147822,-3.2314668,-3.0159078,-4.2986736,2.796939,0.5476163,-2.4867873,2.5554097,0.662961,-0.9187611,-0.3616536,-3.4703119,-1.0827426,-4.9142785,-3.026475,2.93507,-4.1500154,-0.45918435,-3.7399669,3.8681433,-3.768271,1.5399754,2.5958824,-2.545775,2.3635988,-2.2878497,2.2873876,-3.7726452,-1.2047821
