,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
<http://linkedgeodata.org/ontology/nuclear_explosion%3Apurpose>,3.0652416,0.5880636,-1.9938318,-3.7607124,2.6592166,-3.5783002,2.9422293,3.6354554,3.0417042,-0.36089206,2.8724859,2.611524,-2.962502,2.8621602,-3.2192183,-4.037689,-1.8218617,-3.4851472,-2.7397418,-2.013241,-3.1898859,2.2061791,-0.8503263,2.289834,4.1957774,4.1703134,2.6943052,3.0568194,2.7800057,3.8741271,1.1680014,3.7389276
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,-2.992004,-2.728923,-2.3728344,-0.8979817,2.3814194,2.3419454,-3.8579597,3.9443402,-2.972001,2.7020984,2.0091593,-3.2801418,-3.0376937,-2.494556,1.5815336,2.293148,-2.9649353,-2.8497102,-3.0829825,-3.179313,2.5338757,2.6904442,-2.9018173,2.5664043,2.9783342,2.4859357,3.4017217,2.643296,-3.2266479,3.1946414,-1.8891764,3.0188727
<http://linkedgeodata.org/ontology/nuclear_explosion%3Abody_wave_magnitude>,-2.5704079,2.8472173,-1.3553768,-3.5141988,-2.882724,1.7439902,-1.4361475,-2.3196933,-0.45805776,1.3236742,2.1331792,-1.4222082,1.9794638,-2.7803125,-2.4284737,-2.1757145,-1.7420883,-0.35286596,-3.1934547,-2.713549,-1.9115282,-2.2044237,2.043951,-2.4811313,1.6429291,2.3566897,-1.2108439,3.325337,-1.5447482,2.7696764,1.8296067,-2.8145473
<http://linkedgeodata.org/ontology/gadmSameAs>,1.5546522,2.4930837,2.3292422,3.1312666,-0.53899896,-1.7130936,1.2422491,-0.76687443,-2.0732083,2.9472282,1.3004035,-2.7930975,1.3894185,-2.5148182,-1.3515708,2.02661,2.5965838,2.7173817,-1.3922322,-1.3841895,-1.55866,1.997617,-1.0855062,-1.8604323,-1.9698147,2.4630048,1.733766,0.9717887,-1.8323854,-0.76206386,-0.33036062,-2.661515
<http://www.w3.org/2000/01/rdf-schema#label>,0.5389339,-3.007675,-2.2517707,0.14602487,-1.2589824,3.1068418,0.70269716,2.6541233,0.5547004,2.4101498,1.9066668,0.985341,1.4402217,-2.65132,-2.9754946,1.7287182,2.4094918,-0.7215357,3.3282194,-2.1451132,-0.09474519,2.8939412,0.20205571,-3.5998178,1.4133087,0.3771527,-1.5927831,-2.3238626,-1.0165333,-1.2228115,-1.911321,1.4904928
<http://linkedgeodata.org/ontology/nuclear_explosion%3Atype>,-2.5038118,2.2004826,-1.795658,-2.7451065,2.548981,0.61438644,-2.0245595,2.5966332,3.2040272,-2.4155235,-2.4277573,2.7619605,-2.728716,2.8803608,2.554949,-4.2053456,2.7924483,2.5248327,-2.5101888,3.26581,-3.0369713,-2.9496634,-2.2635405,3.6726434,-3.39559,-3.227847,-2.899549,-2.1780705,-3.1513503,-2.8429148,-3.1439338,-3.2361264
<http://linkedgeodata.org/ontology/nuclear_explosion%3Ashot_name%3Aen>,0.56865644,-2.997336,-2.1553404,0.14051732,-1.24203,3.0377007,0.7854405,2.687714,0.56791836,2.4579804,1.855743,1.0600052,1.4258908,-2.6459513,-2.9571989,1.7890462,2.426315,-0.7208385,3.3024473,-2.1081524,-0.10383383,2.8699203,0.095543265,-3.5937724,1.3803921,0.28155467,-1.6438503,-2.1921208,-1.0611194,-1.1430414,-1.94679,1.3067635
<http://linkedgeodata.org/ontology/changeset>,-1.5408208,-3.6854045,1.7879914,2.30994,2.784317,-1.986099,2.8684144,-3.3687582,-2.7830877,-2.9251919,2.4689052,2.0507953,-2.166779,-1.5713884,-1.3964272,-2.119204,-2.8945305,2.2877,2.1725662,3.264205,-2.1353996,3.0985513,1.9012051,-2.5102983,2.1900864,2.5787714,-1.9369138,-3.333513,-1.0289934,-2.5408273,2.5542512,2.357117
<http://purl.org/dc/terms/contributor>,-2.7219954,2.305395,-1.4563702,2.4560304,1.9885364,1.2267172,-2.512093,-2.1492946,-2.7150218,2.4417276,2.8154967,2.7786238,2.8341386,2.3658202,-1.5605298,2.6217165,-3.4592295,2.375625,-3.1660843,2.5186994,3.2967255,-2.934772,1.5933388,2.2974298,-3.4846354,2.1079967,-2.565804,-3.0782392,1.3890269,-2.983832,2.4441254,3.0188193
<http://linkedgeodata.org/ontology/nuclear_explosion%3Aground_zero_altitude>,2.075225,-2.9883687,-2.4800248,-1.6399347,0.9527275,3.2824786,-1.9470794,3.699854,0.17969169,1.7780305,2.536441,0.9433832,2.9202125,-3.454262,-4.3803515,0.19665557,2.444741,1.8396008,0.7058917,1.8592677,-0.14359407,-0.7605521,-0.70821846,-4.1191936,2.7289758,-1.6452632,-0.8590004,-1.3483007,1.2828635,1.2415987,-1.1519384,-2.7224355
<http://www.w3.org/2003/01/geo/wgs84_pos#long>,2.1840818,3.9961705,-1.6231552,-2.2335165,2.4477253,2.0205128,-1.9462222,1.9181224,2.4433079,-0.9216685,2.0008907,-2.2467911,-1.8130671,2.6641777,-1.3917515,-1.2966179,0.2847752,0.9223505,-2.7144704,0.92069143,-1.9494691,2.1081684,0.7320894,1.1696335,1.9103843,1.4763218,-1.0418795,1.9575483,1.5961809,-2.2841802,2.1360848,-2.64363
<http://purl.org/dc/terms/modified>,2.502496,-0.59010565,2.747,2.5350652,-1.7469476,-2.595271,-1.4711627,-2.9150865,-0.9667205,-1.6576872,-0.97792125,1.5962481,2.3799498,-1.9146863,1.0620123,0.68034464,2.002834,-2.1626403,-1.9872314,2.444359,1.3542655,-2.5125594,-1.8018486,1.8575897,2.4295557,-2.253006,3.7793384,-1.7820046,2.2344117,-1.6278503,-1.0866541,-1.9989558
<http://linkedgeodata.org/ontology/nuclear_explosion%3Asite>,2.4060712,-3.6631665,-1.3056016,-2.2277582,3.3608727,2.0898676,2.2940445,2.332046,3.6190886,-2.6599464,2.9086483,-2.3311121,-1.9203868,-2.2837336,2.5709312,2.5415545,-3.0030024,2.5260704,-2.8109286,3.2138348,2.680515,-1.8342006,2.3076065,2.6743767,-2.5694683,2.1969893,2.2252522,1.9898584,-2.8894675,-2.78481,2.9078238,-3.6820006
<http://linkedgeodata.org/ontology/nuclear_explosion%3Ahole>,1.1891515,-3.807108,-0.023272805,0.36265326,1.2027947,3.1293602,-2.0933778,1.6366497,-1.4685284,3.0186741,2.5322423,2.9459252,1.5983493,0.586382,-4.0806584,1.3242068,-1.8085924,-2.385337,1.9243214,1.1537399,-1.6665473,2.6128864,-0.37799886,-0.22084606,-1.665892,-2.8356352,-1.8434483,1.0807604,1.5324919,0.40672538,-0.86464196,0.41380036
