,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
<http://www.w3.org/2003/01/geo/wgs84_pos#lat>,1.5317945,-0.074639305,-1.5968956,-3.2711966,1.662813,-2.0254107,2.2935348,0.6541886,1.9775922,-0.82571965,1.3976834,0.22073148,-2.6282582,1.827616,-2.5566335,-3.1949701,-0.55435306,-2.9035041,1.508623,-1.7240142,-2.0252266,1.3161637,1.0717113,0.9093683,3.1241455,2.4985986,1.2212199,1.1633763,1.9518101,2.003667,2.3994434,2.7608597
<http://linkedgeodata.org/ontology/nuclear_explosion%3Apurpose>,-2.3092911,-3.665802,-2.6648269,2.2108278,2.356782,2.718796,-3.2600036,3.403435,-2.5445635,2.7124417,-1.058029,-3.382871,-2.1648486,-3.1924033,2.1059387,2.476079,-2.7066855,-2.8186305,-2.3283327,-3.5702183,2.742535,3.2546787,-3.089647,1.3424743,3.07263,2.61938,2.866572,2.0367527,-3.0625818,3.3945878,-2.4698896,3.1443062
<http://linkedgeodata.org/ontology/nuclear_explosion%3Asite>,-2.8500948,3.0725048,-2.8116615,-3.8077621,-2.516794,0.28971004,-2.974205,-1.6794289,0.98701704,-1.876302,2.6077204,-1.5521908,3.1037347,-3.032161,-2.9912176,-3.0053651,-2.4129622,1.8173373,-3.875582,-2.9835172,-2.396233,-2.2118227,1.9969016,-3.2954433,2.1753848,2.301487,-2.1937778,3.7616992,-2.5808194,2.1359477,1.8216223,-3.3364518
<http://linkedgeodata.org/ontology/nuclear_explosion%3Adate%3Autc>,0.9637099,2.4627428,2.6431866,2.5497844,-0.54814595,-1.9212017,1.1671333,0.80619943,-2.3545585,2.6985826,0.22443654,-2.8906596,0.28910342,-2.4913733,-1.6648494,2.4738588,3.2253246,2.90988,-1.0057765,-1.9084427,-1.7621974,1.2812393,-1.5247027,-1.8076715,-1.4357324,2.3044262,1.7775787,1.6354442,-1.9560404,-0.11975153,0.00786835,-2.8253417
<http://linkedgeodata.org/ontology/version>,1.6599938,-3.1151102,-3.0319521,1.0491999,-1.9958724,3.1110444,-2.1487975,3.9827619,3.232888,2.3193588,3.053564,3.4398606,2.5490897,-2.8234193,-3.3236437,-1.5551559,2.0139325,1.8644749,3.6273267,-2.8835263,1.9654666,3.3630357,1.918134,-3.6026902,3.054242,2.5369601,1.4097943,-2.110351,-2.047964,-3.1239016,-2.6921809,-2.4423287
<http://linkedgeodata.org/ontology/nuclear_explosion%3Ayield>,-1.5025715,1.9165761,-1.388616,-1.7273289,2.182685,-0.41075373,-0.14298722,0.6270007,3.086409,-1.9435381,-1.929306,2.5569067,-2.7874937,2.3643997,-1.410205,-3.7380798,2.4925458,1.9333012,-1.8656154,2.5226119,-2.94716,-3.0172696,-1.1182495,2.2155592,-0.5745271,-2.7183824,-2.828861,-1.7940998,-2.2037904,-2.65144,-2.2188163,-3.032073
<http://linkedgeodata.org/ontology/nuclear_explosion%3Aheight_of_burst>,-0.29891858,-2.7313855,-1.478798,-1.537659,-1.1872882,2.4884193,0.821278,2.113593,0.7567929,1.2768638,3.975948,2.7863033,1.31857,-2.6588016,-1.4659287,2.6095734,1.68578,-1.1529726,3.2440448,-1.1764066,-0.9512357,1.6317981,-2.1739612,-3.0360582,-0.9905436,-1.8718699,-2.332377,-2.6028616,-1.0842996,-1.7648919,-0.6023371,-0.77894574
<http://linkedgeodata.org/ontology/nuclear_explosion%3Atype>,-2.049074,-3.6441357,2.3394117,2.9212327,2.4518104,-2.505343,3.1019926,-3.5377703,-2.953564,-3.411281,2.8640745,2.7052352,-2.405074,-1.6054558,-3.6765432,-3.0677094,-2.5139844,2.914003,2.7039847,3.2369437,-2.7211277,3.6193085,2.4994295,-3.0417635,2.1981537,2.9828641,-1.9218041,-3.3484635,-1.4003578,-1.6357508,2.9681227,2.6994653
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,-2.3811657,2.1691244,-3.149616,3.2602386,3.0965033,3.0758445,-2.226777,-2.6287718,-1.8731886,1.9715387,2.9742625,3.0288732,3.415795,2.688959,-2.3278105,2.3154433,-3.684828,3.0171225,-3.0323315,2.8084006,3.2250166,-2.4837327,2.6739979,2.55059,-3.468099,-0.23671617,-2.5148115,-2.7959416,2.8945925,-3.1618297,2.164058,3.2831755
<http://linkedgeodata.org/ontology/nuclear_explosion%3Ashot_name%3Aen>,2.737791,-3.104688,0.560844,-2.0096295,1.6364579,2.5629423,-2.1123645,1.0354666,-2.182807,1.7112093,3.3327518,2.2988372,2.3814638,-0.64403576,-2.416375,-0.10753593,0.39241084,-0.19325374,1.1580414,2.1787982,-1.2187926,-1.2839721,-1.7037216,-1.885655,-1.0549498,-2.8828077,-1.9949647,1.1846862,2.277147,2.1469078,1.6899356,-2.696643
<http://linkedgeodata.org/ontology/changeset>,3.1239955,4.1751385,-2.034334,-2.0594475,2.7510574,2.246093,-2.5798616,2.5169287,2.4649665,-2.2590132,3.0690403,-1.9235915,-2.2899232,2.892169,-1.0970119,-1.956918,0.8147546,2.2492123,-3.664324,1.6368752,-3.069539,1.9015081,-2.204236,-1.2825426,3.462652,1.0086204,2.0583637,3.40402,2.1259372,-2.6537352,1.6347996,-3.261106
<http://purl.org/dc/terms/modified>,2.647935,-0.6648493,2.7433815,2.976633,-1.4067975,-2.5815141,-0.74914616,-2.6043122,-1.2283381,-1.7148749,-0.5708323,1.3014321,2.3766334,-2.2425613,0.74884653,-0.3494906,2.633243,-2.7747765,-1.7813234,2.413445,1.3274379,-2.130687,-2.2239723,1.8383099,2.392515,-1.6438596,3.6815035,-2.3230221,2.2308874,-1.7998544,-0.8821314,-2.3773277
<http://geovocab.org/geometry#geometry>,2.0465817,-0.9129201,-1.2748697,-1.6080159,0.4325603,-0.51000386,2.7704914,1.4419711,3.2721548,-1.0388061,2.2022247,-2.0569067,-0.06648662,-1.9270722,1.5902188,0.9201821,-1.4718363,0.8676137,-2.2887077,2.3091838,1.4323633,-2.0641165,2.0899506,2.407582,-1.5370505,0.9938954,1.333026,-0.27274677,-2.530027,-0.6223438,3.1458473,-3.4121711
<http://www.w3.org/2000/01/rdf-schema#label>,2.7600687,-3.161028,0.604246,-1.9420803,1.6653054,2.5682685,-2.1539233,0.93596435,-2.185714,1.7254652,3.2807808,2.323966,2.4114892,-0.6100142,-2.3886855,-0.04413148,0.3800003,-0.25657672,1.0652287,2.1430302,-1.2936187,-1.1665043,-1.7039831,-1.765551,-1.1246747,-2.911321,-2.0212412,1.2202345,2.3045235,2.105018,1.9144508,-2.6166854
