,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
<http://linkedgeodata.org/ontology/nuclear_explosion%3Acountry>,-2.7903209,2.775956,3.3512697,4.4720864,3.2963796,-2.9899943,-2.846442,5.0286565,-2.3545077,3.0121794,-2.8687618,3.0753586,2.689579,-3.022896,3.3070862,-3.375877,-2.9171698,-3.0308502,-5.0170503,4.2541494,-3.1053848,3.6864595,3.9917824,2.8796308,-3.6126375,2.476267,3.5920427,2.9195595,1.2107211,-1.3032553,4.4878473,-3.107608
<http://www.w3.org/2003/01/geo/wgs84_pos#long>,3.9885714,-1.095504,2.7846985,1.5879855,2.580799,0.33010522,-0.61332494,1.3741379,-0.33550373,-0.16338496,-1.2290881,3.0833735,0.32965755,4.8421626,-3.962333,1.097487,-1.3117305,-1.8565937,-2.8657959,-1.948386,0.28249007,2.8181515,-1.6232892,-1.0323448,-0.38716152,-5.659207,-4.378186,1.0935993,3.0893803,3.7626252,4.560598,1.7985612
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,-3.562506,2.7579503,-3.8292341,3.375959,2.685509,2.8448393,-2.0298324,3.0886152,-2.5286715,2.7450418,3.2163606,2.2777317,3.2501862,3.6515071,3.3302598,2.4379656,-3.4663193,-2.7794373,-3.128504,4.570398,-3.3046408,3.005734,-2.6094422,-3.4960725,-2.433964,2.9287007,-3.7007668,-5.341458,3.1369832,-1.3991666,-2.2031038,2.2395644
<http://linkedgeodata.org/ontology/nuclear_explosion%3Atime%3Autc>,2.1707,-0.58253443,4.0393014,1.5764165,-2.0463333,-1.793303,3.2933383,2.1611345,2.7659264,-2.7879853,2.3393905,1.4209446,1.0724336,-0.24306366,-4.282578,-2.535626,2.786018,-1.849739,0.2664607,-2.4773066,1.5895004,1.7597353,2.949177,-2.2108626,2.9001331,0.25917348,-5.052158,-4.32087,3.261064,-0.77245533,-0.667117,-3.0701613
<http://linkedgeodata.org/ontology/nuclear_explosion%3Atype>,-3.3791933,-5.9506903,-2.395101,-2.1545136,-3.1026947,-3.8334115,-1.8127877,-3.5803816,-3.0476627,-2.546183,-0.9174293,-1.8563828,4.2446203,-1.721197,2.855755,-3.594265,-2.684018,-2.2415867,-4.138168,-2.283144,3.0136778,3.5308127,-3.1124218,3.01446,3.4831638,-4.004461,3.0486784,-3.1787577,-2.716252,-1.4590212,-3.5036502,-3.8417525
<http://linkedgeodata.org/ontology/nuclear_explosion%3Asite>,3.5089173,-3.4146957,-2.9040015,4.497754,-3.3363097,-2.9224014,-1.8472159,-2.9809554,3.6738825,-3.1049333,-2.6542923,-2.9543722,2.5764763,-1.2985498,2.237253,3.283996,-3.0740287,3.4225721,4.7316236,-2.8481395,-2.9901161,-1.4133489,1.9574428,-3.5554507,-1.2264405,3.1589882,2.8884556,2.6886933,-1.0877038,4.162887,4.3251967,2.5043206
<http://linkedgeodata.org/ontology/nuclear_explosion%3Adate%3Autc>,1.8716096,-4.371919,0.25922242,-0.8621435,-3.4973278,2.9867685,3.7642956,1.56026,1.7669532,2.372724,-1.4083883,-0.057319727,-1.494486,4.427125,-0.0019186124,-4.102291,2.3678825,-1.0501026,-3.0055616,-2.9180973,3.3527257,-1.5458106,1.9002502,-1.7252429,-0.05024114,-3.8004205,1.5455041,2.9614105,-0.9713297,4.7889576,-0.6236433,1.1346161
<http://linkedgeodata.org/ontology/nuclear_explosion%3Ahole>,1.9628782,1.2151588,0.7856977,-2.0040064,-1.7421954,2.9014978,3.355093,-1.4112844,4.503089,0.55652386,0.17376788,-1.576711,1.8663797,-0.51455504,-4.9925303,-0.8734758,-3.5510077,-2.333086,-3.0136998,3.2098045,-2.017799,0.80652004,0.5293329,-3.4091911,2.633482,2.3802204,-3.612452,0.5704745,1.1682987,1.8438027,6.021524,3.715446
<http://linkedgeodata.org/ontology/version>,3.6404157,3.3020515,-2.4799018,-2.0378473,-3.6867528,-3.1740851,0.4770717,-1.5553238,2.443592,-3.7239854,2.5794587,-1.9515716,-1.7758969,-3.4696307,-2.9739301,-0.9067082,-5.1601405,-1.2971513,-3.9550557,3.8959312,-1.2173191,0.46781763,0.4130394,1.650412,-0.56447387,6.5285597,-6.220075,-2.7671177,1.9391773,6.1108546,3.2304506,1.487146
<http://linkedgeodata.org/ontology/nuclear_explosion%3Aseries>,3.3523648,2.6263366,-2.2221906,-0.2623658,-3.5369995,-3.015403,-2.2426002,3.005125,-3.6911962,-2.454909,3.600201,-2.1890297,-3.0167892,5.24385,2.017168,-4.1405034,2.4542675,3.6000643,3.6569016,-2.8139894,1.704595,-1.6405398,2.8629873,-2.4307568,-2.6773298,2.0232368,1.6909128,3.4831662,-0.5820661,-1.519922,4.214768,2.2199857
