,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
<http://linkedgeodata.org/ontology/nuclear_explosion%3Aground_zero_altitude>,0.27064583,-3.6494253,-0.35555515,-0.72461545,-1.2336464,-3.2070513,3.4315622,0.39065006,-1.9343723,-3.18137,0.26843548,4.682968,-0.98187554,2.965736,-2.6604247,-3.2766557,-7.392459,1.2784003,1.695094,2.4451516,-1.096076,0.64624244,0.20955569,-1.8936802,3.4827657,0.7743014,2.8058918,-4.943391,-0.94759244,0.74812996,1.8364193,5.6402054
<http://linkedgeodata.org/ontology/nuclear_explosion%3Apurpose>,-3.2690692,-6.906475,-2.9498563,2.5034833,3.0365674,2.8243895,-2.9395025,2.9341507,-2.8817103,3.002484,2.1251004,-3.3721476,-3.9879403,-2.9797583,1.9048742,3.41873,-4.6804013,-3.5342066,-0.7504193,-3.9970505,3.7574396,3.2829568,-3.3546422,-2.0503335,3.090616,2.9270682,2.9908266,3.115285,-3.0175653,3.655622,-2.8228455,4.4069586
<http://linkedgeodata.org/ontology/version>,-3.6392229,-1.1545454,-2.7349296,-3.5145335,-4.2670293,-4.7062106,-1.7533091,-1.2501924,-2.737187,-5.7825027,1.5461605,5.477198,2.6956198,0.45726794,-3.4161148,-3.553292,-6.58064,0.59473795,-1.0077845,0.06725349,-1.6752862,-2.8982172,-0.67987067,-4.1895432,1.9073962,0.73904604,0.96373206,-4.339857,-3.4156456,-0.5881961,1.1597809,1.9222054
<http://linkedgeodata.org/ontology/nuclear_explosion%3Acountry>,1.4607422,2.1217422,4.2725167,3.766733,3.795875,-3.6077142,3.1613677,2.8625653,-2.9594407,3.4437017,-1.0367998,-3.0192728,3.2663746,-2.615138,-3.3095658,3.45968,3.1975894,3.7477582,-2.4159656,-3.8078628,-2.9802215,3.111314,-3.5737417,-4.0313497,-3.2365997,2.8537297,3.3757286,2.535593,-2.8925962,-3.7996204,-3.7156124,-3.3019676
<http://linkedgeodata.org/ontology/gadmSameAs>,2.5487208,-3.9131837,-2.2013774,1.537892,-2.010103,3.3411138,-1.9299474,2.5318756,-0.2478491,0.8568588,1.5202253,1.8885294,2.1504772,-1.6398773,-2.9070024,-0.9725696,0.14478043,1.9491408,4.282326,-3.5667968,2.7904356,3.3135436,2.8948941,-4.275068,3.1195118,3.4527454,1.4637386,-1.8111553,-0.05640681,-1.1120737,-2.2125225,4.171332
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,-4.120175,0.38842425,-3.4511313,1.0254606,2.0411394,2.9333222,-4.539768,3.6352024,3.0576365,-2.9196093,-4.106561,4.649088,-3.1644955,3.6979861,-2.8240745,-4.0746193,2.2931502,2.8620088,-2.9080045,3.3572397,-2.5772107,-3.2496,-4.036811,3.3386054,-2.223995,-3.7175045,-2.887299,-2.073289,-2.924,-3.4017904,-4.5181074,-2.4519076
<http://www.w3.org/2003/01/geo/wgs84_pos#lat>,-1.6910708,-4.1577344,-0.72052777,-2.293737,-1.6953523,3.3493993,3.1513736,2.9294066,1.4135439,1.562648,1.0265368,2.8052242,-2.9049404,-0.7164833,-1.1891376,3.044384,0.89207417,-2.9828203,4.1625876,-2.1968985,-0.15529494,2.4954357,-2.539568,-3.8441377,-1.6112199,-2.068223,-3.5904133,-3.5258355,-1.4223627,-1.6621811,-3.1959007,3.9893403
<http://www.w3.org/2000/01/rdf-schema#label>,-0.9853826,-4.5463057,-0.22295743,0.86867774,-2.045274,-2.158995,3.5431974,-1.5434947,-3.3279786,-4.6982336,-1.8646696,4.4740796,-0.7851494,0.15544142,1.0037994,-4.468179,-5.319477,3.4813657,0.6124208,2.1639185,0.87755364,0.9612647,1.4080955,-2.7947705,2.4636748,0.41291153,0.37057337,-4.550025,-0.5219281,-0.7236511,-0.59641725,5.747925
<http://linkedgeodata.org/ontology/nuclear_explosion%3Adate%3Autc>,-1.5532495,0.8499923,1.47728,1.3698084,0.44285253,2.6997588,-0.53259385,-2.619784,-0.86880183,1.882515,2.2201688,2.845622,1.9269001,3.7534251,-0.34104222,1.9102652,-5.05331,1.3252999,-1.9750072,0.87139976,4.090897,-2.492391,3.1419494,1.230499,-3.537282,1.5070437,-3.5462644,-2.849175,3.2829328,-0.5041314,2.0115242,5.567727
<http://linkedgeodata.org/ontology/nuclear_explosion%3Atype>,4.0359025,-4.052243,-3.034814,-2.9506557,3.202815,3.7488265,-3.533369,3.170337,-3.229997,-3.6738217,2.2975156,-1.2338293,3.2743483,-2.0383937,-3.4120038,-2.9427922,2.0619226,2.7078962,-2.6831157,3.6716044,4.096521,-4.017354,-3.1773486,-4.5149984,2.8676116,-3.7962754,3.1846495,1.278139,3.6895463,3.5938697,2.5441692,-3.8014245
