,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
<■1■xpAShsbDJlzcWcpKpSTzLFNDeKfiyyOk>,-1.1727825,1.1201352,-1.119627,0.10629859,-1.1674346,2.1536236,-3.3979273,-0.2476321,-0.53816444,2.9997418,0.6198787,-0.21029553,0.8551545,-0.3313883,-0.6056456,-0.55613226,0.41563308,0.616305,2.3573384,1.15291,-0.93410116,1.1416777,-0.41473308,-2.1759682,1.0498967,1.5079918,0.72447526,0.8143675,2.1201036,0.6604353,1.0162877,-0.64703643
<■1■CJcpFYLIzClfHwCVguMNKjuYBIVvOGbw>,-0.9144715,0.7130947,-0.16771515,0.07806477,-2.1861145,-1.6794535,-2.4816945,1.1081871,0.61249393,1.2096171,0.9992548,0.09538908,2.837074,0.013475612,0.15800318,1.9520979,-2.2269263,-0.22449268,1.4327408,0.19154568,-1.0584334,-0.6964667,-0.12653518,-2.8007834,1.1918486,2.2188194,0.88133144,1.7346016,-0.98176056,-0.5965081,-0.80145603,-0.15800016
<■0■ngcGvFBKkfuOubGZxfUFFWqDZDxxtMaL>,-4.6699677,1.4981196,0.867471,0.42756692,-3.600483,0.9648686,-1.7865849,-1.45315,-0.8597384,-1.8810683,-0.8962483,-1.4219798,1.4812068,-1.0438476,1.6149333,0.23842388,-0.047501,-0.55142605,-0.3515896,0.976075,0.42976788,0.57378525,-0.91684216,-1.5515677,-0.09668442,1.3178403,1.7286313,1.1575994,0.29395077,1.817793,0.18528098,3.1037188
<■1■LBbGYXCliFyJjcHTAFMkSVmSWaqjyZUL>,1.0304747,0.15151232,-0.69800407,-1.4012357,-3.8818016,-3.114596,-1.2219495,-1.50028,-1.9449333,-2.1669083,0.6619969,-0.56943274,1.1322496,0.20935743,1.3381416,0.6612688,0.30724496,-0.055341646,0.6502262,1.2441832,0.12637271,-1.8026452,-1.2853749,-2.2366433,0.555415,1.2614787,2.7689016,0.3264444,-0.7422794,0.7326174,0.14364244,1.6967839
<■0■CRZrPoRcrKMBqXawMiIKOqLktiwuPpTx>,0.07947529,-0.031823426,-1.3043605,0.9453776,-1.6253743,-0.12760217,-0.85383797,-3.6200373,-1.6285139,-0.85268015,2.2878666,-1.4185178,0.6165869,-4.3775535,2.2686658,-0.61680764,-0.34088734,-0.7736801,1.3510814,-0.82630825,-0.81062466,2.703248,0.90195096,-1.8438966,1.4137638,2.6202352,2.5272613,-0.537136,1.0727484,0.8404931,2.109849,-1.483301
<■0■zkRKFJfHiGTBUxgaAnhNTnpmILAtZqiG>,0.8782173,3.4498048,0.8196732,6.1706276,-5.726955,-0.0009202028,-4.154438,-2.0795405,-3.6444411,-0.32201925,1.7034891,-4.469021,8.466682,-3.0127866,6.548298,-1.0085709,-0.23548165,-0.23708212,3.9763129,-1.627643,-0.52275497,5.178387,1.9369345,-3.367693,0.99435085,2.9730852,5.0022836,-2.798365,1.1404992,0.45898896,0.29064184,3.3723998
<■1■bNRfnOEPFVsJeUiLfGueShIqdWKMvKBe>,-1.0094421,3.4235651,0.98205054,2.9395003,-7.7464223,0.21466635,-4.889934,-1.8404164,-3.5991793,-2.3040411,-0.1817506,-3.1681414,6.160737,-3.6912718,4.3886266,-1.2184074,-0.84144276,-1.8762063,4.9550624,1.4009005,-0.5318021,4.9864798,-0.31673196,-4.5167446,2.0403278,3.1339016,4.689033,-1.4679575,-1.2684927,0.6458371,-0.8235413,4.158125
<■1■GLMmusjqHywcxdGeTEZqcikXvOKGIQZU>,0.5978346,1.8032361,-1.4659569,0.057657443,-3.2142763,-1.5318835,-0.6778466,-2.776967,1.4958498,0.5873419,-0.5928172,1.7644626,1.1908735,-1.2070075,1.7137196,0.8840197,-0.7531206,1.1645136,0.39362928,-0.21326509,1.6125371,0.36652654,-0.75205135,0.022484936,0.39641112,3.1405814,3.239142,0.64906955,0.69269913,1.6317824,0.041002907,0.74254864
<■0■QciTthgBniMgkcAQrKUEQoVQsejyhTRh>,-2.5473003,2.4082403,2.486257,-0.23448654,-1.635623,-1.13164,0.49444994,-0.7918603,-2.4007103,0.22794215,-1.1570784,-3.5145571,1.8998183,-0.97647285,1.6815915,-0.14471908,-1.4498501,-2.2854342,1.9744159,1.0029671,2.2131927,1.6053107,1.2376251,-0.5924852,0.9281972,1.9615772,2.7312348,-0.5315008,-1.3315827,1.0084482,0.03025566,0.12546727
<■0■RNRmdDWLXeVWgLyJpGnnzcPiSjWWDeBD>,-3.5047483,0.81297606,-1.8374015,-0.3808926,-0.9609739,-0.14723545,0.0054222154,-1.624549,-2.6855078,-2.2974277,-0.08198055,-0.7441097,0.5250829,1.2628541,-0.33826128,2.4868503,-0.5519189,-2.157839,1.2706496,-0.50203973,0.57250583,1.7014667,0.86950606,-0.91819507,1.3670897,-0.678707,1.9572891,-0.49761003,-0.89146465,-1.1562716,-1.4171056,1.4995522
