,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
<http://prop.org/bL>,-0.47921315,-2.15551,-0.5622044,0.8673628,-0.15053292,1.0206246,1.3544488,0.18688393,0.6935743,-2.844917,0.107634895,-0.2274268,1.7072055,0.118752204,1.1502084,1.2651533,-0.35417065,-0.68564,1.9797547,2.9525363,-1.6771483,-1.4264325,-0.7448491,0.81959015,-2.408006,1.0007914,-2.0805743,-1.0814565,-0.9747357,0.84386486,-2.0580359,2.5535843
<http://prop.org/ze>,0.83054304,-1.6591613,1.4255565,-2.06055,1.3851006,-0.4980877,2.2587628,-1.2240301,1.9607058,0.68286514,-2.2486503,-1.1861734,-0.23323135,0.67078483,1.8017576,0.09988261,-1.7074698,0.055939585,-1.5835183,-0.16062355,-1.1071343,0.18140686,-1.9097152,-1.3806936,0.19351788,2.3177688,-0.68162733,-0.20897731,2.367094,-0.9472481,-2.6824024,-0.25900945
<http://prop.org/Cj>,1.7093769,-0.25461113,-0.58899087,-0.21717824,1.0818863,-1.9464083,0.24064338,1.2374293,0.38463977,0.9497471,-0.16297668,-2.0838234,0.4431847,1.6680506,1.935936,-1.2377914,-1.3360062,-2.616088,-1.0699605,-1.3347476,0.95966476,-0.5011176,2.7896008,-1.1307402,-1.1136099,-1.926465,-0.42231256,1.3391819,-0.7752936,1.4383736,-1.8651006,-0.7615249
<http://prop.org/vi>,-2.1244652,-0.8522449,-0.10596257,-0.403175,-1.5383887,0.2960696,-1.398331,1.1263766,-0.19151452,-2.1739264,0.006458207,-0.88885707,-0.29245648,1.4813792,-2.926766,2.662991,-0.2459646,0.31714284,0.22078894,0.4016873,1.4275202,-1.3928531,3.6870346,-0.06571884,0.54995555,-0.12909433,-1.2320799,0.06898053,0.27183965,1.1428925,-2.1835577,-2.1607006
<http://prop.org/ws>,0.55606234,0.8955464,0.079946354,-0.99359494,0.18628474,-1.5228218,1.4249027,-2.507192,-0.34295043,-0.7360113,-1.0113548,1.1523867,-0.26578888,0.0909593,-0.49014664,0.7902779,1.1856321,0.9238777,-0.15560016,-0.8857103,0.5222372,4.4172506,-2.7298462,0.53781426,-0.11262415,0.8053959,1.2403666,0.36867034,-1.1218314,-3.0085359,-1.1395223,-1.1671239
<http://prop.org/Wq>,3.0062556,1.2435167,1.1751479,-0.9039294,-2.9940913,-0.20630117,0.8746392,-0.031430796,-0.49160716,0.44726634,-1.8076892,0.52680403,-0.5469316,0.99043924,1.0262414,2.7035398,0.031084893,1.385452,0.282073,1.6525224,-0.385278,-2.589133,0.9705722,0.7043653,-2.146287,-0.47576863,-1.1727681,1.4361805,-0.9442568,0.53486514,1.4092861,-0.6716985
<http://prop.org/dR>,-0.43401843,0.33486584,-1.2274354,-0.94683677,-2.2059927,0.67631555,0.3906016,-0.29820377,-1.4177516,-2.1273935,3.230009,-0.2153221,0.890701,-0.0534,-2.548668,0.10991361,3.425461,-0.39268386,0.660761,-0.33934027,-0.49166185,1.0523778,0.43580744,0.8515084,-1.0684878,1.3446546,1.2968707,1.4852984,-0.7993199,3.0410066,2.314591,-1.2733289
<http://prop.org/SK>,0.18193053,-0.89812297,0.5982772,-0.25385773,1.653619,1.2210679,-0.5911562,0.5234293,2.8294997,0.9140363,-2.370824,-2.5689518,0.76271266,-0.7045998,2.4643493,1.412877,-0.55311126,2.3939621,1.7194306,1.1127009,-0.38024804,0.7749195,1.0886623,0.7671659,-1.9114822,-0.9872096,1.5790466,-2.978717,1.1396909,1.4950131,-0.95768166,-0.38939443
<http://prop.org/lN>,0.6638013,-0.24354444,0.86302173,1.4921576,-3.4622238,2.5437384,1.405221,0.22536623,1.9521024,1.1945654,0.33616972,-0.17797233,1.2980726,0.67639697,0.5481199,1.4129416,-0.6138559,-1.2411474,0.10764618,-2.7754705,0.9455686,-3.2075129,-0.82612884,-2.6996634,-0.76243985,0.6208701,-0.9724925,1.0091456,0.67750245,-0.18679775,2.4135416,-0.46423492
<http://prop.org/bk>,0.21480998,-1.7383546,0.23226005,0.63120365,-0.4592579,-2.2079985,1.0867558,-1.8858476,-3.113979,-2.5889635,-2.847685,0.8112621,0.34381366,-0.27730352,-1.153968,-1.0681138,3.3506386,-0.11823528,0.018705584,-1.5853379,0.8610395,-1.7654604,0.85679376,-1.127392,-2.2704687,-0.375903,1.3989584,1.4567817,2.3001475,0.092281654,0.17136706,-0.65745187
